datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime.1,datetime
2019-09-18,2019-09-18,17:00:00,UM Alto Alegre - Móvel,CE03,MP10,109.0,ug/m3,automatico,2019,9,18,17,,2019-09-18 17:00:00
2019-09-21,2019-09-21,01:00:00,UM Alto Alegre - Móvel,CE03,MP10,109.0,ug/m3,automatico,2019,9,21,01,,2019-09-21 01:00:00
2019-09-24,2019-09-24,17:00:00,UM Alto Alegre - Móvel,CE03,MP10,109.0,ug/m3,automatico,2019,9,24,17,,2019-09-24 17:00:00
2019-09-30,2019-09-30,01:00:00,UM Alto Alegre - Móvel,CE03,MP10,109.0,ug/m3,automatico,2019,9,30,01,,2019-09-30 01:00:00
2019-09-30,2019-09-30,19:00:00,UM Alto Alegre - Móvel,CE03,MP10,109.0,ug/m3,automatico,2019,9,30,19,,2019-09-30 19:00:00
2019-10-03,2019-10-03,18:00:00,UM Alto Alegre - Móvel,CE03,MP10,109.0,ug/m3,automatico,2019,10,3,18,,2019-10-03 18:00:00
2019-09-26,2019-09-26,14:00:00,UM Alto Alegre - Móvel,CE03,MP10,108.0,ug/m3,automatico,2019,9,26,14,,2019-09-26 14:00:00
2019-09-28,2019-09-28,01:00:00,UM Alto Alegre - Móvel,CE03,MP10,108.0,ug/m3,automatico,2019,9,28,01,,2019-09-28 01:00:00
2019-09-30,2019-09-30,16:00:00,UM Alto Alegre - Móvel,CE03,MP10,108.0,ug/m3,automatico,2019,9,30,16,,2019-09-30 16:00:00
2019-10-02,2019-10-02,03:00:00,UM Alto Alegre - Móvel,CE03,MP10,108.0,ug/m3,automatico,2019,10,2,03,,2019-10-02 03:00:00
2019-09-18,2019-09-18,15:00:00,UM Alto Alegre - Móvel,CE03,MP10,107.0,ug/m3,automatico,2019,9,18,15,,2019-09-18 15:00:00
2019-09-25,2019-09-25,15:00:00,UM Alto Alegre - Móvel,CE03,MP10,107.0,ug/m3,automatico,2019,9,25,15,,2019-09-25 15:00:00
2019-09-25,2019-09-25,21:00:00,UM Alto Alegre - Móvel,CE03,MP10,107.0,ug/m3,automatico,2019,9,25,21,,2019-09-25 21:00:00
2019-09-16,2019-09-16,13:00:00,UM Alto Alegre - Móvel,CE03,MP10,106.0,ug/m3,automatico,2019,9,16,13,,2019-09-16 13:00:00
2019-09-18,2019-09-18,16:00:00,UM Alto Alegre - Móvel,CE03,MP10,106.0,ug/m3,automatico,2019,9,18,16,,2019-09-18 16:00:00
2019-09-23,2019-09-23,14:00:00,UM Alto Alegre - Móvel,CE03,MP10,106.0,ug/m3,automatico,2019,9,23,14,,2019-09-23 14:00:00
2019-10-04,2019-10-04,15:00:00,UM Alto Alegre - Móvel,CE03,MP10,106.0,ug/m3,automatico,2019,10,4,15,,2019-10-04 15:00:00
2019-09-18,2019-09-18,18:00:00,UM Alto Alegre - Móvel,CE03,MP10,105.0,ug/m3,automatico,2019,9,18,18,,2019-09-18 18:00:00
2019-09-19,2019-09-19,12:00:00,UM Alto Alegre - Móvel,CE03,MP10,105.0,ug/m3,automatico,2019,9,19,12,,2019-09-19 12:00:00
2019-09-30,2019-09-30,17:00:00,UM Alto Alegre - Móvel,CE03,MP10,105.0,ug/m3,automatico,2019,9,30,17,,2019-09-30 17:00:00
2019-10-02,2019-10-02,16:00:00,UM Alto Alegre - Móvel,CE03,MP10,105.0,ug/m3,automatico,2019,10,2,16,,2019-10-02 16:00:00
2019-09-19,2019-09-19,18:00:00,UM Alto Alegre - Móvel,CE03,MP10,104.0,ug/m3,automatico,2019,9,19,18,,2019-09-19 18:00:00
2019-09-22,2019-09-22,04:00:00,UM Alto Alegre - Móvel,CE03,MP10,104.0,ug/m3,automatico,2019,9,22,04,,2019-09-22 04:00:00
2019-10-03,2019-10-03,15:00:00,UM Alto Alegre - Móvel,CE03,MP10,104.0,ug/m3,automatico,2019,10,3,15,,2019-10-03 15:00:00
2019-09-20,2019-09-20,00:00:00,UM Alto Alegre - Móvel,CE03,MP10,103.0,ug/m3,automatico,2019,9,20,00,,2019-09-20 00:00:00
2019-09-28,2019-09-28,10:00:00,UM Alto Alegre - Móvel,CE03,MP10,103.0,ug/m3,automatico,2019,9,28,10,,2019-09-28 10:00:00
2019-09-30,2019-09-30,11:00:00,UM Alto Alegre - Móvel,CE03,MP10,103.0,ug/m3,automatico,2019,9,30,11,,2019-09-30 11:00:00
2019-10-05,2019-10-05,19:00:00,UM Alto Alegre - Móvel,CE03,MP10,103.0,ug/m3,automatico,2019,10,5,19,,2019-10-05 19:00:00
2019-09-22,2019-09-22,15:00:00,UM Alto Alegre - Móvel,CE03,MP10,102.0,ug/m3,automatico,2019,9,22,15,,2019-09-22 15:00:00
2019-09-28,2019-09-28,18:00:00,UM Alto Alegre - Móvel,CE03,MP10,102.0,ug/m3,automatico,2019,9,28,18,,2019-09-28 18:00:00
2019-09-29,2019-09-29,16:00:00,UM Alto Alegre - Móvel,CE03,MP10,102.0,ug/m3,automatico,2019,9,29,16,,2019-09-29 16:00:00
2019-09-29,2019-09-29,20:00:00,UM Alto Alegre - Móvel,CE03,MP10,102.0,ug/m3,automatico,2019,9,29,20,,2019-09-29 20:00:00
2019-10-03,2019-10-03,22:00:00,UM Alto Alegre - Móvel,CE03,MP10,102.0,ug/m3,automatico,2019,10,3,22,,2019-10-03 22:00:00
2019-10-06,2019-10-06,00:00:00,UM Alto Alegre - Móvel,CE03,MP10,102.0,ug/m3,automatico,2019,10,6,00,,2019-10-06 00:00:00
2019-09-15,2019-09-15,18:00:00,UM Alto Alegre - Móvel,CE03,MP10,101.0,ug/m3,automatico,2019,9,15,18,,2019-09-15 18:00:00
2019-09-16,2019-09-16,12:00:00,UM Alto Alegre - Móvel,CE03,MP10,101.0,ug/m3,automatico,2019,9,16,12,,2019-09-16 12:00:00
